type,m,index,A*,BS-ub,BS-prob,LBS
poz,10,41,33,123,135,139
poz,10,42,30,121,136,135
poz,10,43,30,121,135,135
poz,10,44,30,120,135,135
poz,10,45,29,124,134,137
poz,10,46,29,124,135,137
poz,10,47,29,125,136,135
poz,10,48,29,123,136,134
poz,10,49,29,123,134,137
poz,10,5,29,130,139,145
poz,10,50,29,122,136,135
poz,10,51,29,121,132,130
poz,10,52,29,128,136,135
poz,10,53,29,123,133,136
poz,10,54,29,124,133,133
poz,10,55,29,123,133,132
poz,10,56,29,126,131,133
poz,10,57,29,121,127,130
poz,10,58,29,122,132,129
poz,10,59,29,122,129,130
poz,10,6,28,128,142,144
poz,10,60,29,124,132,132
poz,10,61,29,125,131,133
poz,10,62,29,124,131,131
poz,10,63,29,121,130,130
poz,10,64,29,121,131,128
poz,10,65,29,119,130,129
poz,10,7,27,132,139,140
poz,10,8,27,129,139,140
poz,10,9,27,131,138,141
poz,11,0,27,125,139,138
poz,11,1,32,132,137,134
poz,11,10,29,121,130,128
poz,11,11,29,117,131,128
poz,11,2,33,126,133,136
poz,11,3,29,124,132,135
poz,11,4,30,120,135,134
poz,11,5,29,121,136,133
poz,11,6,29,123,133,132
poz,11,7,29,120,129,130
poz,11,8,29,124,131,130
poz,11,9,29,120,131,129
poz,12,0,29,121,131,129
poz,3,0,56,249,235,259
poz,3,1,45,191,178,202
poz,3,2,35,267,257,282
poz,3,3,67,224,239,249
poz,3,4,48,221,214,246
poz,3,5,61,195,208,221
poz,3,6,43,221,208,221
poz,3,7,43,219,220,264
poz,3,8,42,220,224,236
poz,3,9,54,247,269,285
poz,4,0,43,196,221,226
poz,4,1,49,203,206,228
poz,4,2,42,216,229,244
poz,4,3,32,228,238,250
poz,4,4,31,194,202,206
poz,4,5,33,187,197,206
poz,4,6,30,233,221,235
poz,4,7,47,176,184,203
poz,4,8,59,193,205,220
poz,4,9,54,216,213,237
poz,5,0,34,202,214,224
poz,5,1,27,178,180,187
poz,5,2,42,158,176,188
poz,5,3,30,197,182,207
poz,5,4,26,161,139,172
poz,5,5,33,183,188,193
poz,5,6,36,195,210,210
poz,5,7,46,207,211,232
poz,5,8,40,176,181,204
poz,5,9,40,198,205,221
poz,6,0,30,167,170,182
poz,6,1,39,166,173,190
poz,6,2,30,165,169,179
poz,6,3,30,163,168,170
poz,6,4,30,174,176,175
poz,6,5,31,162,173,174
poz,6,6,30,183,201,201
poz,6,7,41,159,167,177
poz,6,8,26,167,160,178
poz,6,9,25,149,157,159
poz,7,0,33,143,157,162
poz,7,1,33,154,158,166
poz,7,2,29,153,165,168
poz,7,3,38,171,175,178
poz,7,4,27,142,150,162
poz,7,5,30,163,165,171
poz,7,6,24,180,185,190
poz,7,7,30,147,153,162
poz,7,8,26,155,154,161
poz,7,9,31,155,160,165
poz,8,0,31,160,168,170
poz,8,1,24,141,144,148
poz,8,2,24,139,147,144
poz,8,3,27,147,149,153
poz,8,4,27,142,145,148
poz,8,5,25,151,160,165
poz,8,6,30,138,147,148
poz,8,7,30,143,153,157
poz,8,8,26,145,152,155
poz,8,9,30,137,150,153
poz,9,0,24,156,155,157
poz,9,1,30,145,152,156
poz,9,2,22,140,148,147
poz,9,3,29,133,141,148
poz,9,4,22,132,141,141
poz,9,5,25,141,144,149
poz,9,6,23,138,150,154
poz,9,7,30,140,151,154
poz,9,8,23,140,144,145
poz,9,9,21,140,141,146
