n,m,p,len_p,sigma,index,obj,BS-ub-5000,BS-prob-5000,LBS-5000
200,5,5,2,4,0,63,63,63,63
200,5,5,2,4,1,86,86,86,86
200,5,5,2,4,2,59,59,59,59
200,5,5,2,4,3,64,64,64,64
200,5,5,2,4,4,3,3,3,3
200,5,5,4,20,0,30,30,30,30
200,5,5,4,20,1,29,29,29,29
200,5,5,4,20,2,31,31,31,31
200,5,5,4,20,3,28,28,28,28
200,5,5,4,20,4,30,30,30,30
200,5,5,4,4,0,87,87,87,87
200,5,5,4,4,1,89,88,89,89
200,5,5,4,4,2,90,89,90,88
200,5,5,4,4,3,90,90,90,90
200,5,5,4,4,4,93,93,93,93
500,5,10,10,20,0,25,76,76,76
500,5,10,10,20,1,27,81,83,83
500,5,10,10,20,2,24,77,80,80
500,5,10,10,20,3,25,76,77,78
500,5,10,10,20,4,23,79,80,80
500,5,10,10,4,0,41,227,227,227
500,5,10,10,4,1,43,225,229,228
500,5,10,10,4,2,46,228,227,230
500,5,10,10,4,3,43,232,235,235
500,5,10,10,4,4,59,231,235,233
500,5,10,25,20,0,25,76,77,77
500,5,10,25,20,1,25,79,78,79
500,5,10,25,20,2,26,81,82,82
500,5,10,25,20,3,28,77,79,79
500,5,10,25,20,4,26,79,80,79
500,5,10,25,4,0,47,224,229,240
500,5,10,25,4,1,55,234,233,233
500,5,10,25,4,2,53,234,232,240
500,5,10,25,4,3,53,224,230,236
500,5,10,25,4,4,50,201,201,239
500,5,10,5,20,0,27,78,78,79
500,5,10,5,20,1,26,78,79,78
500,5,10,5,20,2,29,77,78,77
500,5,10,5,20,3,27,76,79,79
500,5,10,5,20,4,28,76,77,78
500,5,10,5,4,0,90,180,225,226
500,5,10,5,4,1,86,216,217,218
500,5,10,5,4,2,170,168,170,170
500,5,10,5,4,3,119,228,229,227
500,5,10,5,4,4,109,219,224,223
500,5,3,10,20,0,40,79,80,80
500,5,3,10,20,1,35,77,79,79
500,5,3,10,20,2,37,77,78,78
500,5,3,10,20,3,35,77,77,77
500,5,3,10,20,4,36,80,81,80
500,5,3,10,4,0,71,228,230,230
500,5,3,10,4,1,69,238,231,230
500,5,3,10,4,2,71,231,232,232
500,5,3,10,4,3,66,228,229,227
500,5,3,10,4,4,65,225,228,226
500,5,3,25,20,0,40,77,77,78
500,5,3,25,20,1,38,78,79,79
500,5,3,25,20,2,38,78,79,80
500,5,3,25,20,3,38,82,82,83
500,5,3,25,20,4,41,82,82,82
500,5,3,25,4,0,75,246,249,248
500,5,3,25,4,1,67,238,241,246
500,5,3,25,4,2,66,231,201,243
500,5,3,25,4,3,72,231,237,238
500,5,3,25,4,4,68,240,240,241
500,5,3,5,20,0,34,80,81,81
500,5,3,5,20,1,34,79,79,79
500,5,3,5,20,2,38,82,82,81
500,5,3,5,20,3,35,78,78,78
500,5,3,5,20,4,39,79,80,79
500,5,3,5,4,0,75,225,228,228
500,5,3,5,4,1,89,219,221,220
500,5,3,5,4,2,86,230,230,232
500,5,3,5,4,3,89,229,233,232
500,5,3,5,4,4,79,215,216,215
500,5,5,10,20,0,32,77,80,80
500,5,5,10,20,1,33,78,80,80
500,5,5,10,20,2,34,79,81,81
500,5,5,10,20,3,34,82,81,81
500,5,5,10,20,4,31,77,78,78
500,5,5,10,4,0,51,228,228,228
500,5,5,10,4,1,57,220,225,225
500,5,5,10,4,2,50,221,230,228
500,5,5,10,4,3,55,229,229,227
500,5,5,10,4,4,58,229,232,234
500,5,5,25,20,0,32,79,79,80
500,5,5,25,20,1,35,77,78,78
500,5,5,25,20,2,32,79,78,79
500,5,5,25,20,3,36,82,82,82
500,5,5,25,20,4,33,78,78,78
500,5,5,25,4,0,61,234,237,239
500,5,5,25,4,1,60,233,235,233
500,5,5,25,4,2,52,238,239,242
500,5,5,25,4,3,56,230,232,241
500,5,5,25,4,4,60,233,236,241
500,5,5,5,20,0,31,78,78,78
500,5,5,5,20,1,35,81,81,81
500,5,5,5,20,2,34,81,81,80
500,5,5,5,20,3,29,78,77,77
500,5,5,5,20,4,32,76,78,78
500,5,5,5,4,0,82,228,227,225
500,5,5,5,4,1,83,223,225,225
500,5,5,5,4,2,89,213,216,216
500,5,5,5,4,3,103,227,227,224
500,5,5,5,4,4,90,174,174,174
